Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean
wisconsin;TRUE;TRUE;TRUE;TRUE;234;428;16;5;0.957297451183195
wisconsin;FALSE;TRUE;TRUE;TRUE;237;426;18;2;0.960017843791833
wisconsin;TRUE;FALSE;TRUE;TRUE;229;430;14;10;0.950240190649328
wisconsin;FALSE;FALSE;TRUE;TRUE;11;439;5;228;0.177882712522117
wisconsin;TRUE;TRUE;FALSE;TRUE;232;431;13;7;0.958751358289759
wisconsin;FALSE;TRUE;FALSE;TRUE;227;430;14;12;0.945841543799037
wisconsin;TRUE;FALSE;FALSE;TRUE;222;435;9;17;0.94481772909705
wisconsin;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-
wisconsin;TRUE;TRUE;TRUE;FALSE;233;429;15;6;0.957042292723126
wisconsin;FALSE;TRUE;TRUE;FALSE;236;427;17;3;0.959738223745231
wisconsin;TRUE;FALSE;TRUE;FALSE;231;430;14;8;0.954618809331613
wisconsin;FALSE;FALSE;TRUE;FALSE;8;442;2;231;0.163640589945845
wisconsin;TRUE;TRUE;FALSE;FALSE;230;431;13;9;0.954389711132513
wisconsin;FALSE;TRUE;FALSE;FALSE;227;431;13;12;0.94780999867293
wisconsin;TRUE;FALSE;FALSE;FALSE;220;435;9;19;0.940385641072161
dermatology-6;TRUE;TRUE;TRUE;TRUE;20;338;0;0;1
dermatology-6;FALSE;TRUE;TRUE;TRUE;16;338;0;4;0.894427190999916
dermatology-6;TRUE;FALSE;TRUE;TRUE;20;338;0;0;1
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean
wisconsin;TRUE;TRUE;TRUE;TRUE;233;429;15;6;0.957042292723126
wisconsin;FALSE;TRUE;TRUE;TRUE;237;425;19;2;0.958140974266855
wisconsin;TRUE;FALSE;TRUE;TRUE;233;431;13;6;0.960924833179256
wisconsin;FALSE;FALSE;TRUE;TRUE;9;439;5;230;0.155589233443893
wisconsin;TRUE;TRUE;FALSE;TRUE;231;430;14;8;0.954618809331613
wisconsin;FALSE;TRUE;FALSE;TRUE;227;429;15;12;0.9438853027311
wisconsin;TRUE;FALSE;FALSE;TRUE;221;436;8;18;0.944660121258852
wisconsin;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-
wisconsin;TRUE;TRUE;TRUE;FALSE;234;428;16;5;0.957297451183195
wisconsin;FALSE;TRUE;TRUE;FALSE;236;427;17;3;0.959738223745231
wisconsin;TRUE;FALSE;TRUE;FALSE;232;430;14;7;0.956800692264323
wisconsin;FALSE;FALSE;TRUE;FALSE;8;439;5;231;0.143522291696137
wisconsin;TRUE;TRUE;FALSE;FALSE;231;431;13;8;0.956572995223947
wisconsin;FALSE;TRUE;FALSE;FALSE;228;431;13;11;0.950008246635156
wisconsin;TRUE;FALSE;FALSE;FALSE;222;436;8;17;0.946869452966207
dermatology-6;TRUE;TRUE;TRUE;TRUE;20;338;0;0;1
dermatology-6;FALSE;TRUE;TRUE;TRUE;16;338;0;4;0.894427190999916
dermatology-6;TRUE;FALSE;TRUE;TRUE;20;338;0;0;1
dermatology-6;FALSE;FALSE;TRUE;TRUE;-;-;-;-;-
dermatology-6;TRUE;TRUE;FALSE;TRUE;20;338;0;0;1
dermatology-6;FALSE;TRUE;FALSE;TRUE;15;338;0;5;0.866025403784439
dermatology-6;TRUE;FALSE;FALSE;TRUE;20;338;0;0;1
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean
wisconsin;TRUE;TRUE;TRUE;TRUE;234;426;18;5;0.953491084414208
wisconsin;FALSE;TRUE;TRUE;TRUE;237;426;18;2;0.960017843791833
