Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean
wisconsin;TRUE;TRUE;TRUE;TRUE;47;89;0;1;0.98952850725316
wisconsin;FALSE;TRUE;TRUE;TRUE;47;86;3;1;0.959383482590078
wisconsin;TRUE;FALSE;TRUE;TRUE;46;86;3;2;0.948504013668671
wisconsin;FALSE;FALSE;TRUE;TRUE;21;86;3;27;0.618718433538229
wisconsin;TRUE;TRUE;FALSE;TRUE;46;88;1;2;0.968474709226497
wisconsin;FALSE;TRUE;FALSE;TRUE;47;87;2;1;0.969123666139729
wisconsin;TRUE;FALSE;FALSE;TRUE;43;89;0;5;0.946484724300046
wisconsin;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-
wisconsin;TRUE;TRUE;TRUE;FALSE;47;87;2;1;0.969123666139729
wisconsin;FALSE;TRUE;TRUE;FALSE;47;86;3;1;0.959383482590078
wisconsin;TRUE;FALSE;TRUE;FALSE;46;88;1;2;0.968474709226497
wisconsin;FALSE;FALSE;TRUE;FALSE;21;86;3;27;0.618718433538229
wisconsin;TRUE;TRUE;FALSE;FALSE;46;88;1;2;0.968474709226497
wisconsin;FALSE;TRUE;FALSE;FALSE;47;87;2;1;0.969123666139729
wisconsin;TRUE;FALSE;FALSE;FALSE;43;88;1;5;0.935667400761876
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean
wisconsin;TRUE;TRUE;TRUE;TRUE;47;89;0;1;0.98952850725316
wisconsin;FALSE;TRUE;TRUE;TRUE;47;86;3;1;0.959383482590078
wisconsin;TRUE;FALSE;TRUE;TRUE;47;86;3;1;0.959383482590078
wisconsin;FALSE;FALSE;TRUE;TRUE;21;86;3;27;0.618718433538229
wisconsin;TRUE;TRUE;FALSE;TRUE;46;88;1;2;0.968474709226497
wisconsin;FALSE;TRUE;FALSE;TRUE;47;87;2;1;0.969123666139729
wisconsin;TRUE;FALSE;FALSE;TRUE;45;88;1;3;0.957663597103592
wisconsin;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-
wisconsin;TRUE;TRUE;TRUE;FALSE;47;87;2;1;0.969123666139729
wisconsin;FALSE;TRUE;TRUE;FALSE;47;86;3;1;0.959383482590078
wisconsin;TRUE;FALSE;TRUE;FALSE;46;88;1;2;0.968474709226497
wisconsin;FALSE;FALSE;TRUE;FALSE;21;86;3;27;0.618718433538229
wisconsin;TRUE;TRUE;FALSE;FALSE;46;89;0;2;0.978945010372561
wisconsin;FALSE;TRUE;FALSE;FALSE;47;88;1;1;0.979166666666667
wisconsin;TRUE;FALSE;FALSE;FALSE;44;88;1;4;0.946729262406257
dermatology-6;TRUE;TRUE;TRUE;TRUE;4;65;3;0;0.755928946018454
dermatology-6;FALSE;TRUE;TRUE;TRUE;4;66;2;0;0.816496580927726
dermatology-6;TRUE;FALSE;TRUE;TRUE;4;65;3;0;0.755928946018454
dermatology-6;FALSE;FALSE;TRUE;TRUE;4;68;0;0;1
dermatology-6;TRUE;TRUE;FALSE;TRUE;4;65;3;0;0.755928946018454
dermatology-6;FALSE;TRUE;FALSE;TRUE;4;66;2;0;0.816496580927726
dermatology-6;TRUE;FALSE;FALSE;TRUE;4;65;3;0;0.755928946018454
dermatology-6;FALSE;FALSE;FALSE;TRUE;0;68;0;4;NaN
dermatology-6;TRUE;TRUE;TRUE;FALSE;4;65;3;0;0.755928946018454
dermatology-6;FALSE;TRUE;TRUE;FALSE;4;66;2;0;0.816496580927726
dermatology-6;TRUE;FALSE;TRUE;FALSE;4;65;3;0;0.755928946018454
dermatology-6;FALSE;FALSE;TRUE;FALSE;0;68;0;4;NaN
dermatology-6;TRUE;TRUE;FALSE;FALSE;4;65;3;0;0.755928946018454
dermatology-6;FALSE;TRUE;FALSE;FALSE;0;68;0;4;NaN
dermatology-6;TRUE;FALSE;FALSE;FALSE;4;65;3;0;0.755928946018454
ecoli4;TRUE;TRUE;TRUE;TRUE;4;61;3;0;0.755928946018454
ecoli4;FALSE;TRUE;TRUE;TRUE;3;61;3;1;0.612372435695794
