Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;460;422;22;9;0.967493133012102;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;458;395;49;10;0.940239672342691;NaN
wisconsin;TRUE;FALSE;TRUE;TRUE;444;423;21;17;0.958972229909207;NaN
wisconsin;FALSE;FALSE;TRUE;TRUE;446;375;69;16;0.914345341223815;NaN
wisconsin;TRUE;TRUE;FALSE;TRUE;454;422;22;12;0.963960899250971;NaN
wisconsin;FALSE;TRUE;FALSE;TRUE;440;411;33;19;0.94431255393738;NaN
wisconsin;TRUE;FALSE;FALSE;TRUE;442;422;22;18;0.956718921341464;NaN
wisconsin;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-;-
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;446;417;27;16;0.954076723542796;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;464;390;54;7;0.93938289319097;NaN
wisconsin;TRUE;FALSE;TRUE;TRUE;464;426;18;7;0.973831925023817;NaN
wisconsin;FALSE;FALSE;TRUE;TRUE;448;384;60;15;0.923752575697889;NaN
wisconsin;TRUE;TRUE;FALSE;TRUE;452;420;24;13;0.960745772190523;NaN
wisconsin;FALSE;TRUE;FALSE;TRUE;460;402;42;9;0.948024479705964;NaN
wisconsin;TRUE;FALSE;FALSE;TRUE;460;427;17;9;0.972550632882515;NaN
wisconsin;FALSE;FALSE;FALSE;TRUE;-;-;-;-;-;-
wisconsin;TRUE;TRUE;TRUE;FALSE;460;427;17;9;0.972550632882515;NaN
wisconsin;FALSE;TRUE;TRUE;FALSE;462;411;33;8;0.957834436899529;NaN
wisconsin;TRUE;FALSE;TRUE;FALSE;448;424;20;15;0.962419894683116;NaN
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;462;427;17;8;0.973700268762323;NaN
Set;Safe;Borderline;Rare;Outlier;TP;TN;FP;FN;GMean, AUC
wisconsin;TRUE;TRUE;TRUE;TRUE;458;420;24;10;0.964315244349483;NaN
wisconsin;FALSE;TRUE;TRUE;TRUE;456;403;41;11;0.946516541144824;NaN
wisconsin;TRUE;FALSE;TRUE;TRUE;454;415;29;12;0.956950181485866;NaN
wisconsin;FALSE;FALSE;TRUE;TRUE;454;380;64;12;0.924055411344269;NaN
